Date,Mode,Ridership,Pct_PrePandemic
3/1/2020,Subways,2212965,0.97
3/1/2020,Buses,984908,0.99
3/1/2020,LIRR,86790,1
3/1/2020,MetroNorth,55825,0.59
3/1/2020,AccessARide,19922,1.13
3/1/2020,StatenIsland,786960,98
3/1/2020,Bridges_Tunnels,1636,52
3/2/2020,Subways,5329915,0.96
3/2/2020,Buses,2209066,0.99
3/2/2020,LIRR,321569,1.03
3/2/2020,MetroNorth,180701,0.66
3/2/2020,AccessARide,30338,1.02
3/2/2020,StatenIsland,874619,95
3/2/2020,Bridges_Tunnels,17140,107
3/3/2020,Subways,5481103,0.98
3/3/2020,Buses,2228608,0.99
3/3/2020,LIRR,319727,1.02
3/3/2020,MetroNorth,190648,0.69
3/3/2020,AccessARide,32767,1.1
3/3/2020,StatenIsland,882175,96
3/3/2020,Bridges_Tunnels,17453,109
3/4/2020,Subways,5498809,0.99
3/4/2020,Buses,2177165,0.97
3/4/2020,LIRR,311662,0.99
3/4/2020,MetroNorth,192689,0.7
3/4/2020,AccessARide,34297,1.15
3/4/2020,StatenIsland,905558,98
3/4/2020,Bridges_Tunnels,17136,107
3/5/2020,Subways,5496453,0.99
3/5/2020,Buses,2244515,1
3/5/2020,LIRR,307597,0.98
3/5/2020,MetroNorth,194386,0.7
3/5/2020,AccessARide,33209,1.12
3/5/2020,StatenIsland,929298,101
3/5/2020,Bridges_Tunnels,17203,108
3/6/2020,Subways,5189447,0.93
3/6/2020,Buses,2066743,0.92
3/6/2020,LIRR,289171,0.92
3/6/2020,MetroNorth,205056,0.74
3/6/2020,AccessARide,30970,1.04
3/6/2020,StatenIsland,945408,103
3/6/2020,Bridges_Tunnels,15285,96
3/7/2020,Subways,2814637,0.92
3/7/2020,Buses,1249085,0.94
3/7/2020,LIRR,106058,0.98
3/7/2020,MetroNorth,75838,0.56
3/7/2020,AccessARide,18117,1.07
3/7/2020,StatenIsland,827907,95
3/7/2020,Bridges_Tunnels,2445,48
3/8/2020,Subways,2120656,0.93
3/8/2020,Buses,957163,0.96
3/8/2020,LIRR,81565,0.94
3/8/2020,MetroNorth,60800,0.64
3/8/2020,AccessARide,19477,1.11
3/8/2020,StatenIsland,765083,95
3/8/2020,Bridges_Tunnels,1672,53
3/9/2020,Subways,4973513,0.89
3/9/2020,Buses,2124770,0.95
3/9/2020,LIRR,277001,0.88
3/9/2020,MetroNorth,183953,0.67
3/9/2020,AccessARide,29609,1
3/9/2020,StatenIsland,860073,93
3/9/2020,Bridges_Tunnels,16122,101
3/10/2020,Subways,4867818,0.87
3/10/2020,Buses,2111989,0.94
3/10/2020,LIRR,259324,0.83
3/10/2020,MetroNorth,179050,0.65
3/10/2020,AccessARide,31315,1.05
3/10/2020,StatenIsland,855585,93
3/10/2020,Bridges_Tunnels,15805,99
3/11/2020,Subways,4697122,0.84
3/11/2020,Buses,2112967,0.94
3/11/2020,LIRR,245798,0.78
3/11/2020,MetroNorth,175074,0.63
3/11/2020,AccessARide,32198,1.08
3/11/2020,StatenIsland,866706,94
3/11/2020,Bridges_Tunnels,15340,96
3/12/2020,Subways,4149505,0.75
3/12/2020,Buses,1938424,0.86
3/12/2020,LIRR,197178,0.63
3/12/2020,MetroNorth,169547,0.61
3/12/2020,AccessARide,30814,1.04
3/12/2020,StatenIsland,881188,96
3/12/2020,Bridges_Tunnels,14169,89
3/13/2020,Subways,3484996,0.63
3/13/2020,Buses,1715737,0.77
3/13/2020,LIRR,158582,0.51
3/13/2020,MetroNorth,167176,0.61
3/13/2020,AccessARide,26640,0.9
3/13/2020,StatenIsland,860419,93
3/13/2020,Bridges_Tunnels,11769,74
3/14/2020,Subways,1670665,0.54
3/14/2020,Buses,993287,0.75
3/14/2020,LIRR,44885,0.42
3/14/2020,MetroNorth,39701,0.29
3/14/2020,AccessARide,13394,0.79
3/14/2020,StatenIsland,631101,72
3/14/2020,Bridges_Tunnels,2135,42
3/15/2020,Subways,1157711,0.51
3/15/2020,Buses,711555,0.72
3/15/2020,LIRR,33407,0.38
3/15/2020,MetroNorth,32641,0.35
3/15/2020,AccessARide,12480,0.71
3/15/2020,StatenIsland,535987,66
3/15/2020,Bridges_Tunnels,1368,43
3/16/2020,Subways,2178555,0.39
3/16/2020,Buses,1237309,0.55
3/16/2020,LIRR,119333,0.38
3/16/2020,MetroNorth,153262,0.56
3/16/2020,AccessARide,21145,0.71
3/16/2020,StatenIsland,708869,77
3/16/2020,Bridges_Tunnels,5741,36
3/17/2020,Subways,1788786,0.32
3/17/2020,Buses,1094949,0.49
3/17/2020,LIRR,83578,0.27
3/17/2020,MetroNorth,147391,0.53
3/17/2020,AccessARide,18173,0.61
3/17/2020,StatenIsland,650444,71
3/17/2020,Bridges_Tunnels,4573,29
3/18/2020,Subways,1625280,0.29
3/18/2020,Buses,1059502,0.47
3/18/2020,LIRR,74883,0.24
3/18/2020,MetroNorth,146118,0.53
3/18/2020,AccessARide,15942,0.54
3/18/2020,StatenIsland,634853,69
3/18/2020,Bridges_Tunnels,4133,26
3/19/2020,Subways,1422112,0.26
3/19/2020,Buses,933602,0.42
3/19/2020,LIRR,59538,0.19
3/19/2020,MetroNorth,144466,0.52
3/19/2020,AccessARide,14116,0.47
3/19/2020,StatenIsland,569696,62
3/19/2020,Bridges_Tunnels,3452,22
3/20/2020,Subways,1309125,0.24
3/20/2020,Buses,868602,0.39
3/20/2020,LIRR,50021,0.16
3/20/2020,MetroNorth,145160,0.53
3/20/2020,AccessARide,12744,0.43
3/20/2020,StatenIsland,563261,61
3/20/2020,Bridges_Tunnels,3124,20
3/21/2020,Subways,619618,0.2
3/21/2020,Buses,411491,0.31
3/21/2020,LIRR,12438,0.12
3/21/2020,MetroNorth,23700,0.17
3/21/2020,AccessARide,6467,0.38
3/21/2020,StatenIsland,382992,44
3/21/2020,Bridges_Tunnels,1044,21
3/22/2020,Subways,408723,0.18
3/22/2020,Buses,73517,0.07
3/22/2020,LIRR,8891,0.1
3/22/2020,MetroNorth,20830,0.22
3/22/2020,AccessARide,4824,0.27
3/22/2020,StatenIsland,277050,34
3/22/2020,Bridges_Tunnels,641,20
3/23/2020,Subways,709499,0.13
3/23/2020,Buses,59321,0.03
3/23/2020,LIRR,30564,0.1
3/23/2020,MetroNorth,139285,0.51
3/23/2020,AccessARide,9902,0.33
3/23/2020,StatenIsland,361513,39
3/23/2020,Bridges_Tunnels,1639,10
3/24/2020,Subways,741587,0.13
3/24/2020,Buses,60334,0.03
3/24/2020,LIRR,29785,0.1
3/24/2020,MetroNorth,139194,0.5
3/24/2020,AccessARide,9133,0.31
3/24/2020,StatenIsland,395493,43
3/24/2020,Bridges_Tunnels,1727,11
3/25/2020,Subways,690032,0.12
3/25/2020,Buses,51769,0.02
3/25/2020,LIRR,26143,0.08
3/25/2020,MetroNorth,138239,0.5
3/25/2020,AccessARide,9512,0.32
3/25/2020,StatenIsland,375767,41
3/25/2020,Bridges_Tunnels,1572,10
3/26/2020,Subways,680360,0.12
3/26/2020,Buses,49970,0.02
3/26/2020,LIRR,23809,0.08
3/26/2020,MetroNorth,138668,0.5
3/26/2020,AccessARide,8795,0.3
3/26/2020,StatenIsland,390117,42
3/26/2020,Bridges_Tunnels,1563,10
3/27/2020,Subways,656817,0.12
3/27/2020,Buses,45514,0.02
3/27/2020,LIRR,20355,0.06
3/27/2020,MetroNorth,138903,0.5
3/27/2020,AccessARide,8409,0.28
3/27/2020,StatenIsland,396777,43
3/27/2020,Bridges_Tunnels,1495,9
3/28/2020,Subways,332393,0.11
3/28/2020,Buses,19745,0.01
3/28/2020,LIRR,5279,0.05
3/28/2020,MetroNorth,19088,0.14
3/28/2020,AccessARide,4491,0.27
3/28/2020,StatenIsland,240702,28
3/28/2020,Bridges_Tunnels,600,12
3/29/2020,Subways,263700,0.12
3/29/2020,Buses,14307,0.01
3/29/2020,LIRR,4358,0.05
3/29/2020,MetroNorth,18152,0.19
3/29/2020,AccessARide,3374,0.19
3/29/2020,StatenIsland,197154,24
3/29/2020,Bridges_Tunnels,419,13
3/30/2020,Subways,545215,0.1
3/30/2020,Buses,33659,0.02
3/30/2020,LIRR,19741,0.06
3/30/2020,MetroNorth,137762,0.5
3/30/2020,AccessARide,8084,0.27
3/30/2020,StatenIsland,344689,37
3/30/2020,Bridges_Tunnels,1140,7
3/31/2020,Subways,508106,0.09
3/31/2020,Buses,32211,0.01
3/31/2020,LIRR,16194,0.05
