Date,Year,Month,Day,Quarter,Start of Quarter,Start of Month,Start of Week,Day Name,Season,Is_Weekend
3/1/2020,2020,3,1,1,1/1/2020,3/1/2020,3/1/2020,Sunday,Spring,1
3/2/2020,2020,3,2,1,1/1/2020,3/1/2020,3/1/2020,Monday,Spring,0
3/3/2020,2020,3,3,1,1/1/2020,3/1/2020,3/1/2020,Tuesday,Spring,0
3/4/2020,2020,3,4,1,1/1/2020,3/1/2020,3/1/2020,Wednesday,Spring,0
3/5/2020,2020,3,5,1,1/1/2020,3/1/2020,3/1/2020,Thursday,Spring,0
3/6/2020,2020,3,6,1,1/1/2020,3/1/2020,3/1/2020,Friday,Spring,0
3/7/2020,2020,3,7,1,1/1/2020,3/1/2020,3/1/2020,Saturday,Spring,1
3/8/2020,2020,3,8,1,1/1/2020,3/1/2020,3/8/2020,Sunday,Spring,1
3/9/2020,2020,3,9,1,1/1/2020,3/1/2020,3/8/2020,Monday,Spring,0
3/10/2020,2020,3,10,1,1/1/2020,3/1/2020,3/8/2020,Tuesday,Spring,0
3/11/2020,2020,3,11,1,1/1/2020,3/1/2020,3/8/2020,Wednesday,Spring,0
3/12/2020,2020,3,12,1,1/1/2020,3/1/2020,3/8/2020,Thursday,Spring,0
3/13/2020,2020,3,13,1,1/1/2020,3/1/2020,3/8/2020,Friday,Spring,0
3/14/2020,2020,3,14,1,1/1/2020,3/1/2020,3/8/2020,Saturday,Spring,1
3/15/2020,2020,3,15,1,1/1/2020,3/1/2020,3/15/2020,Sunday,Spring,1
3/16/2020,2020,3,16,1,1/1/2020,3/1/2020,3/15/2020,Monday,Spring,0
3/17/2020,2020,3,17,1,1/1/2020,3/1/2020,3/15/2020,Tuesday,Spring,0
3/18/2020,2020,3,18,1,1/1/2020,3/1/2020,3/15/2020,Wednesday,Spring,0
3/19/2020,2020,3,19,1,1/1/2020,3/1/2020,3/15/2020,Thursday,Spring,0
3/20/2020,2020,3,20,1,1/1/2020,3/1/2020,3/15/2020,Friday,Spring,0
3/21/2020,2020,3,21,1,1/1/2020,3/1/2020,3/15/2020,Saturday,Spring,1
3/22/2020,2020,3,22,1,1/1/2020,3/1/2020,3/22/2020,Sunday,Spring,1
3/23/2020,2020,3,23,1,1/1/2020,3/1/2020,3/22/2020,Monday,Spring,0
3/24/2020,2020,3,24,1,1/1/2020,3/1/2020,3/22/2020,Tuesday,Spring,0
3/25/2020,2020,3,25,1,1/1/2020,3/1/2020,3/22/2020,Wednesday,Spring,0
